"0","2 Pria Bengkulu Batal Jual Kulit Harimau Sepanjang 2 Meter https://t.co/13VdXMu9vC https://t.co/wXwpzgy7i4"
"0","Jual Kulit Harimau, Calo Ngaku Dapat Jatah Rp 20 Juta https://t.co/yx9CMiuhIn"
"0","LIMA DITAHAN JUAL KULIT HARIMAU SUMATERA https://t.co/W6aaqYgsic https://t.co/Ys9yN4QzNj"
"0","Sedih lihat berita masih aja ada yang jual kulit Harimau😭"
"0","Jual Kulit Harimau Rp 50 Juta, Dua Warga Aceh Ditangkap - Detikcom (Siaran Pers) https://t.co/el406uhZpq"
"0","2 Warga Inhu Riau Tepergok Jual Kulit Harimau Sumatera: Kulit harimau itu bukan milik kami. Kami hanya disur... https://t.co/kwwuxEMwxZ"
"0","Jual Kulit Harimau, Dua Pemilik Toko Antik di Bukittingi Dibekuk Polisi https://t.co/F8ZuiX3HyW"
"0","Izin Agen Kulit Ular dan Biawak Malah Jual Kulit Harimau:     Nasib  harimau mak... https://t.co/UoUMr85D8a via: https://t.co/xcQACof01w"
"0","2 Pria Bengkulu Batal Jual Kulit Harimau Sepanjang 2 Meter https://t.co/bQoFphOG3Q https://t.co/pJejCUD9np"
"0","5 Ditahan Jual Kulit Harimau https://t.co/cEPhYOf5WF"
"1","Dimana ya yang jual bayi harimau sumatera :-$"
"1","Mau punya bayi harimau dong,,pasti ngga di jual"
"1","Bayi harimau ada yg jual ga yaa? @FJB_Bandung"
"1","kok gak onok seng jual bayi harimau ya"
"1","buset di kaskus ada yg jual bayi harimau -_-"
"1","mana ada yang jual bayi harimau"
"1","Bayi harimau gak ada yg jual ya"
"1","Yang punya info jual bayi kuskus atau kukang Dan bayi harimau daerah malang DM saya ya min . @infomalang"
"1","Alis Harimau, Cuma 1, Natural, Blom Di Apa2in.: WTS  Sepotong Kulit bagian Alis Harimau  Fungsi :  Tanya aja k... http://t.co/OffgLcD0E1"
